Name,AE,VAE,VQ-VAE,VQ-VAE-EMA,VQ-Diff
PYT_R,0.999986 ± 0.000329,0.498932 ± 0.192392,0.715485 ± 0.122743,0.684907 ± 0.126696,0.998822 ± 0.003826
PYT_L,0.999960 ± 0.000719,0.476410 ± 0.204523,0.704552 ± 0.117931,0.677895 ± 0.119968,0.998805 ± 0.003921
POPT_R,0.999945 ± 0.000801,0.464985 ± 0.216688,0.686736 ± 0.149472,0.656298 ± 0.150048,0.999029 ± 0.003420
POPT_L,0.999922 ± 0.000967,0.481582 ± 0.214525,0.686912 ± 0.139707,0.650812 ± 0.144388,0.998944 ± 0.003742
MCP,0.999926 ± 0.000885,0.359348 ± 0.252869,0.498949 ± 0.229883,0.374064 ± 0.232267,0.998687 ± 0.004329
ILF_R,0.999932 ± 0.000861,0.272660 ± 0.201912,0.340969 ± 0.163170,0.283616 ± 0.159151,0.991001 ± 0.011450
ILF_L,0.999943 ± 0.000746,0.239985 ± 0.201891,0.322802 ± 0.156155,0.240860 ± 0.149510,0.991025 ± 0.011284
IFOF_R,0.999852 ± 0.001217,0.280813 ± 0.236675,0.343787 ± 0.197082,0.279391 ± 0.188292,0.989847 ± 0.013343
IFOF_L,0.999757 ± 0.001669,0.234099 ± 0.213025,0.314394 ± 0.177369,0.229643 ± 0.162993,0.985541 ± 0.016425
FPT_R,0.999939 ± 0.000887,0.283286 ± 0.210219,0.506370 ± 0.179545,0.435795 ± 0.188509,0.997654 ± 0.005875
FPT_L,0.999958 ± 0.000659,0.268973 ± 0.226164,0.498389 ± 0.202539,0.433524 ± 0.209599,0.997133 ± 0.007412
CC_Fr_1,0.999978 ± 0.000412,0.375044 ± 0.203341,0.338099 ± 0.174216,0.245836 ± 0.153786,0.997497 ± 0.011091
